Regional Community Gathering;Intro to EA presentations;Giving Game;Socials;Workshops;Reading Group;Discussion Meetings;Career Coaching;Presentations Overall;Hackathon
0;1;0;0;0;0;1;1;1;1
0;1;0;0;1;0;0;0;1;0
1;1;0;1;1;0;0;1;1;0
0;1;1;1;1;0;0;0;1;0
1;1;1;1;1;1;1;0;1;0
0;1;0;0;1;1;0;1;0;0
0;1;1;1;1;0;0;0;0;0
0;0;0;0;0;0;0;1;1;0
0;1;0;0;0;0;0;0;0;0
0;1;0;1;1;1;1;0;0;0
0;1;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;0;0
0;1;0;1;1;1;0;0;1;0
0;1;0;0;1;0;0;0;0;0
1;0;1;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;1;0
0;0;1;1;0;1;1;0;1;0
0;1;1;0;1;1;0;0;0;0
0;1;1;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;1;0
0;1;0;0;0;0;0;0;0;0
