Subpage;Regional Community Gathering;Ressources For Events;Motivation;Workshops;Speaker List;Outreach;Career Coaching;Finance;Giving Game;Structure/Orga;Meet-Ups;Networking Between Groups;Central Contact Point;1 on 1;Mental Health;Donation Administration
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0
0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0
0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0
0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1
0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0
0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0
